"","ID","Species","Date.collected","Date.intestine.dissected","Date.fish.dissected","island","fishingstatus","Station","sitechla","chla","latitude","depth","Habitat","TL","TL..mm.","FL..mm.","SL..mm.","TWW..g.","Intestine.weight..g.","Gonads","Gonad.voucher","TREM.ALL","CEST.ALL","COP.ALL","ISO.ALL","NEM.ALL"
"78","3274","ACANIG","1-Nov-10","26-Jan-12","18-Apr-12","Kingman","unfished","KIN-2010-F3",0.411,0.132,6.3897,35,"patchreef",133.1,133.1,125.5,106.1,50.77,7.45,"F1",NA,28,0,0,0,1
"79","3275","ACANIG","1-Nov-10","21-Jan-12","20-Apr-12","Kingman","unfished","KIN-2010-F3",0.411,0.132,6.3897,35,"patchreef",149.5,149.5,142,118.4,68.72,8.49,"?",NA,118,0,0,0,0
"80","3278","ACANIG","1-Nov-10","7-Feb-12","19-Apr-12","Kingman","unfished","KIN-2010-F3",0.411,0.132,6.3897,35,"patchreef",157,157,148.2,126.7,107.12,17.87,"F1",9101,19,0,0,0,0
"81","3279","ACANIG","31-Oct-10","3-Feb-12","19-Apr-12","Kingman","unfished","KIN-2010-F3",0.411,0.132,6.3897,35,"patchreef",185.4,185.4,177.4,144.7,121.11,15.4,"?",NA,36,0,0,0,0
"82","328","ACANIG","12-Nov-10","31-Jan-12","23-Apr-12","Jarvis","unfished","JAR-2010-F1",0.211,0.208,-0.37152,45,"forereef",171,171,163,138,129.19,13.25,"M",9142,471,3,0,0,0
"83","3280","ACANIG","31-Oct-10","21-Jan-12","16-Apr-12","Kingman","unfished","KIN-2010-F3",0.411,0.132,6.3897,35,"patchreef",174.1,174.1,163.2,133.5,107.64,17.75,"F3",11629,131,0,0,0,0
"84","329","ACANIG","12-Nov-10","31-Jan-12","13-Apr-12","Jarvis","unfished","JAR-2010-F1",0.211,0.208,-0.37152,45,"forereef",200,200,194,165,259,23.9,"F3",9175,412,3,0,0,0
"85","335","ACANIG","12-Nov-10","20-Jan-12","18-Apr-12","Jarvis","unfished","JAR-2010-F1",0.211,0.208,-0.37152,45,"forereef",225,225,217,185,319,50.01,"F3",11389,284,13,0,0,0
"86","336","ACANIG","12-Nov-10","6-Mar-12","16-Apr-12","Jarvis","unfished","JAR-2010-F1",0.211,0.208,-0.37152,45,"forereef",218,218,209,178,NA,42.91,"F3",16967,418,5,0,0,0
"87","3426","ACANIG","8-Nov-10","7-Feb-12","23-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",164,164,157,134,102.06,10.07,"F1",9424,78,1,0,0,1
"88","3427","ACANIG","8-Nov-10","21-Feb-12","13-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",155,155,149,126,NA,9.94,"M",17584,149,3,0,0,0
"89","3428","ACANIG","8-Nov-10","6-Mar-12","16-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",202,202,193,163,190,25.76,"?",NA,129,6,0,0,1
"90","3433","ACANIG","8-Nov-10","17-Feb-12","23-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",162,162,157,133,104.58,8.06,"?",NA,67,0,0,0,1
"91","388","ACANIG","13-Nov-10","16-Jan-12","23-Apr-12","Jarvis","unfished","JAR-2010-F2",0.211,0.208,-0.367,50,"forereef",159,159,152,129,95.22,10.66,"F1",12144,462,1,0,0,0
"92","389","ACANIG","13-Nov-10","27-Jan-12","20-Apr-12","Jarvis","unfished","JAR-2010-F2",0.211,0.208,-0.367,50,"forereef",150,150,144,121,90.17,10.33,"M",12461,409,4,0,0,0
"93","391","ACANIG","13-Nov-10","16-Jan-12","18-Apr-12","Jarvis","unfished","JAR-2010-F2",0.211,0.208,-0.367,50,"forereef",164,164,155,135,102.78,10.31,"F1",12458,458,0,0,0,0
"94","392","ACANIG","13-Nov-10","31-Jan-12","25-Apr-12","Jarvis","unfished","JAR-2010-F2",0.211,0.208,-0.367,50,"forereef",151,151,145,122,89.55,8.88,"?",NA,878,0,0,0,0
"95","393","ACANIG","13-Nov-10","17-Jan-12","23-Apr-12","Jarvis","unfished","JAR-2010-F2",0.211,0.208,-0.367,50,"forereef",149,149,142,119,88.07,10.1,"?",NA,302,1,0,1,0
"96","397","ACANIG","13-Nov-10","17-Jan-12","25-Apr-12","Jarvis","unfished","JAR-2010-F2",0.211,0.208,-0.367,50,"forereef",154,154,150,126,100.39,11.29,"M",12275,143,0,0,0,0
"97","398","ACANIG","13-Nov-10","17-Jan-12","25-Apr-12","Jarvis","unfished","JAR-2010-F2",0.211,0.208,-0.367,50,"forereef",155,155,147,121.5,100.01,8.9,"?",NA,294,1,0,0,0
"98","400","ACANIG","13-Nov-10","16-Sep-11","25-Apr-12","Jarvis","unfished","JAR-2010-F2",0.211,0.208,-0.367,50,"forereef",169,169,161,136,117.32,NA,"?",NA,326,0,0,0,0
"99","60","ACANIG","31-Oct-10","27-Jan-12","18-Apr-12","Kingman","unfished","KIN-2010-F2",0.411,0.132,6.3863,35,"backreef",141.4,141.4,132.8,109.5,60.58,5.77,"?",NA,72,0,0,0,0
"100","63","ACANIG","31-Oct-10","31-Jan-12","19-Apr-12","Kingman","unfished","KIN-2010-F2",0.411,0.132,6.3863,35,"backreef",154.1,154.1,144.9,NA,79.34,14.34,"F1",11353,101,0,0,0,0
"101","68","ACANIG","31-Oct-10","24-Feb-12","13-Apr-12","Kingman","unfished","KIN-2010-F1",0.411,0.132,6.38147,45,"forereef",165.2,165.2,156.7,129.7,115,13.87,"F3",7272,59,0,0,0,0
"102","72","ACANIG","31-Oct-10","7-Feb-12","18-Apr-12","Kingman","unfished","KIN-2010-F1",0.411,0.132,6.38147,45,"forereef",169.1,169.1,159.5,130.1,127.74,17.53,"F3",9706,19,0,0,0,1
"103","75","ACANIG","31-Oct-10","14-Feb-12","19-Apr-12","Kingman","unfished","KIN-2010-F1",0.411,0.132,6.38147,45,"forereef",163.7,163.7,153.6,123,119.73,14.27,"F3",9672,27,0,0,0,0
"104","79","ACANIG","31-Oct-10","17-Feb-12","19-Apr-12","Kingman","unfished","KIN-2010-F1",0.411,0.132,6.38147,45,"forereef",166.6,166.6,159.2,129.8,126.12,12.23,"?",NA,24,0,0,0,0
"105","856","ACANIG","31-Oct-10","14-Feb-12","19-Apr-12","Kingman","unfished","KIN-2010-F2",0.411,0.132,6.3863,35,"backreef",156.2,156.2,148.1,118.3,96.76,18.43,"?",NA,441,0,0,0,0
"106","865","ACANIG","31-Oct-10","3-Feb-12","16-Apr-12","Kingman","unfished","KIN-2010-F2",0.411,0.132,6.3863,35,"backreef",202.5,202.5,198.3,171.9,111.13,18.94,"F1",5456,123,0,0,0,0
"107","866","ACANIG","31-Oct-10","7-Feb-12","19-Apr-12","Kingman","unfished","KIN-2010-F2",0.411,0.132,6.3863,35,"backreef",169.7,169.7,161.4,132.4,86.62,13.38,"?",NA,325,0,0,0,1
"108","867","ACANIG","31-Oct-10","14-Feb-12","20-Apr-12","Kingman","unfished","KIN-2010-F2",0.411,0.132,6.3863,35,"backreef",147.5,147.5,142.7,117.9,74.68,9.98,"?",NA,105,0,0,0,1
"109","98","ACANIG","31-Oct-10","26-Jan-12","19-Apr-12","Kingman","unfished","KIN-2010-F3",0.411,0.132,6.3897,35,"patchreef",157.5,157.5,150.4,122.4,93.51,15.09,"?",NA,274,0,1,0,0
"110","99","ACANIG","31-Oct-10","27-Jan-12","13-Apr-12","Kingman","unfished","KIN-2010-F3",0.411,0.132,6.3897,35,"patchreef",160.8,160.8,149.4,119,98.84,8.84,"F1",12148,102,0,0,0,0
"111","996","ACANIG","5-Nov-10","20-Jan-12","23-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",115,115,112,92,43,3.57,"?",NA,0,0,0,0,0
"112","TRE050","ACANIG","15-May-14","","2-Sep-15","Kiritimati","fished","KIR-2010-30",0.212,0.19,2.025717,35,"forereef",206,206,194,163,202.85,NA,"F",NA,1461,0,0,0,0
"113","TRE072","ACANIG","9-May-14","","12-Sep-15","Kiritimati","fished","KIR-2010-30",0.212,0.19,2.025717,39,"forereef",188,188,176,148,197.87,NA,"F",NA,742,9,0,0,2
"114","TRE075","ACANIG","9-May-14","","12-Sep-15","Kiritimati","fished","KIR-2010-30",0.212,0.19,2.025717,39,"forereef",195,195,186,155,200.41,NA,"F",NA,1937,1,0,0,2
"115","TRE076","ACANIG","9-May-14","","10-Sep-15","Kiritimati","fished","KIR-2010-30",0.212,0.19,2.025717,39,"forereef",200,200,189,155,216.78,NA,"F",NA,1252,3,0,0,0
"116","TRE077","ACANIG","9-May-14","","13-Sep-15","Kiritimati","fished","KIR-2010-30",0.212,0.19,2.025717,39,"forereef",160,160,151,124,96.47,NA,"M",NA,1066,9,0,0,0
"117","TRE078","ACANIG","17-May-14","","14-Sep-15","Kiritimati","fished","KIR-2010-30",0.212,0.19,2.025717,30,"forereef",193,193,178,155,187.94,NA,"F",NA,17,0,0,0,1
"118","TRE080","ACANIG","15-May-14","","15-Sep-15","Kiritimati","fished","KIR-2010-30",0.212,0.19,2.025717,35,"forereef",199,199,187,155,161.03,NA,"F",NA,988,0,0,0,1
"119","TRE083","ACANIG","15-May-14","","12-Sep-15","Kiritimati","fished","KIR-2010-30",0.212,0.19,2.025717,35,"forereef",202,202,196,161,196.19,NA,"F",NA,1183,3,0,0,0
"120","TRE084","ACANIG","15-May-14","","13-Sep-15","Kiritimati","fished","KIR-2010-30",0.212,0.19,2.025717,35,"forereef",157,157,149,122,96.1,NA,"M",NA,1469,3,0,0,0
