"","species","ID.number","date.collected","date.dissected","station","depth","habitat","island","fishingstatus","TL","SL","TWW","gonads","gonad.voucher","stomach.voucher","TREM.ALL","NEM.ALL","CEST.ALL","COP.ALL","ISO.ALL"
"40","PARARC","912","11/1/10","6/4/12","KIN-2010-F4",62.5,"backreef","Kingman","unfished",74.8,61.9,6.44,"F3",13818,13060,0,15,0,0,0
"41","PARARC","1663","10/31/10","6/4/12","KIN-2010-F2",35,"backreef","Kingman","unfished",80.4,63.9,8.19,"?",NA,13425,0,0,0,0,0
"42","PARARC","1697","11/1/10","3/2/11","KIN-2010-F4",62.5,"backreef","Kingman","unfished",70.3,58.8,NA,"F2",NA,NA,0,0,0,0,0
"43","PARARC","2505","11/2/10","5/31/12","KIN-2010-F5",60,"forereef","Kingman","unfished",94.4,77.4,16.81,"?",9519,9825,2,1,0,0,0
"44","PARARC","2506","11/2/10","6/7/12","KIN-2010-F5",60,"forereef","Kingman","unfished",100.7,84.3,17.96,"?",NA,9214,2,0,0,0,0
"45","PARARC","2507","11/2/10","6/7/12","KIN-2010-F5",60,"forereef","Kingman","unfished",102.6,86.3,21.53,"?",9221,9816,1,0,0,0,0
"46","PARARC","2509","11/2/10","6/7/12","KIN-2010-F5",60,"forereef","Kingman","unfished",90.1,79.8,12.03,"?",NA,12622,0,0,0,0,0
"47","PARARC","2510","11/2/10","6/4/12","KIN-2010-F5",60,"forereef","Kingman","unfished",80.4,67.7,8.99,"F3",13441,12653,1,0,0,0,0
"48","PARARC","2511","11/2/10","2/11/11","KIN-2010-F5",60,"forereef","Kingman","unfished",85.2,71,NA,"F2.5",NA,NA,0,0,0,0,0
"49","PARARC","2512","11/2/10","6/7/12","KIN-2010-F5",60,"forereef","Kingman","unfished",102.3,85.1,19.33,"?",9828,9827,1,0,0,0,0
"50","PARARC","3251","11/1/10","31-May-12","KIN-2010-F3",35,"patchreef","Kingman","unfished",102.31,83.12,16.34,"",NA,9535,0,0,0,0,0
"51","PARARC","3252","11/1/10","31-May-12","KIN-2010-F3",35,"patchreef","Kingman","unfished",100.42,81.71,15.93,"",9223,9822,0,2,0,0,0
"52","PARARC","3310","11/2/10","6/4/12","KIN-2010-F4",60,"backreef","Kingman","unfished",75.6,62.9,6.58,"?",NA,NA,0,0,0,0,0
"53","PARARC","3311","11/2/10","6/4/12","KIN-2010-F4",60,"backreef","Kingman","unfished",74.2,62,7,"F3",12593,12584,0,0,0,0,0
"54","PARARC","TRE025","15-May-14","8-May-16","KIR-2010-30",40,"forereef","Kiritimati","fished",108,90,22.42,"?",NA,NA,0,0,1,0,0
"55","PARARC","TRE026","15-May-14","8-May-16","KIR-2010-30",40,"forereef","Kiritimati","fished",92,79,13.25,"F3",NA,NA,18,0,0,0,0
"56","PARARC","TRE027","15-May-14","29-May-16","KIR-2010-30",40,"forereef","Kiritimati","fished",69,56,5.34,"?",NA,NA,0,0,0,0,0
"57","PARARC","TRE038","9-May-14","28-Apr-16","KIR-2010-27",33,"forereef","Kiritimati","fished",82,68,10.93,"?",NA,NA,6,0,0,0,0
"58","PARARC","TRE042","9-May-14","31-May-16","KIR-2010-27",33,"forereef","Kiritimati","fished",56,46,3.05,"?",NA,NA,0,0,0,0,0
"59","PARARC","TRE072","18-May-14","8-May-16","KIR-2010-30",33,"forereef","Kiritimati","fished",93,80,12.42,"F3",NA,NA,35,0,0,0,0
"60","PARARC","TRE073","18-May-14","8-May-16","KIR-2010-30",33,"forereef","Kiritimati","fished",110,90,22.95,"?",NA,NA,118,0,1,0,0
"61","PARARC","TRE074","18-May-14","10-May-16","KIR-2010-30",33,"forereef","Kiritimati","fished",89,74,12.08,"F3",NA,NA,22,2,0,0,0
"62","PARARC","TRE077","18-May-14","29-May-16","KIR-2010-27",30,"forereef","Kiritimati","fished",70,59,6.61,"F3",NA,NA,8,0,0,0,0
"63","PARARC","TRE078","18-May-14","29-May-16","KIR-2010-27",30,"forereef","Kiritimati","fished",62,53,4.43,"F3",NA,NA,2,0,0,0,0
"64","PARARC","TRE090","18-May-14","31-May-16","KIR-2010-27",30,"forereef","Kiritimati","fished",50,40,1.98,"?",NA,NA,0,0,0,0,0
"65","PARARC","TRE091","18-May-14","29-May-16","KIR-2010-27",30,"forereef","Kiritimati","fished",80,67,9,"F3",NA,NA,0,0,0,0,0
"66","PARARC","TRE092","18-May-14","31-May-16","KIR-2010-27",30,"forereef","Kiritimati","fished",75,63,6.71,"?",NA,NA,0,0,0,0,0
